epoch,train_loss,val_loss,val_dice
1,0.9363867056060147,0.8913716327759528,0.4442886449932107
2,0.7832414190490524,0.8926873880047952,0.48224746163686266
3,0.7497128232732996,0.9522366754470333,0.46521614014205437
4,0.7319375137230019,0.8580352529402702,0.4762309338408628
5,0.7088957641805921,0.8084305284484741,0.5114814929347129
6,0.6932499791894641,0.83435488227875,0.5092896603700623
7,0.6770489016523609,0.8466727993180675,0.5131396681540885
8,0.6642613697361637,0.823875650282829,0.48352475873463147
9,0.6484601040939232,0.7899625599384308,0.5054864601174577
10,0.6382473045355314,0.7882015762790557,0.49823860055011676
11,0.6260172693760364,0.7777362696586116,0.49614061870130266
12,0.6068312428988419,0.8434490792212948,0.4435244025299489
13,0.5921850912756734,0.8057858338279109,0.5075400440691746
14,0.5744407836880002,0.7837611840617272,0.5192021539271919
15,0.557425844785455,0.818545893315346,0.4983812141675694
16,0.5369487141633963,0.8062467267436366,0.47369693061462903
17,0.5156584362705032,0.8324773196251162,0.448174578417419
18,0.49725814453967204,0.7871894249992986,0.5054189006759824
19,0.48337528128902635,0.7886992865993131,0.4819958478126183
20,0.4584536413093666,0.8054056359875587,0.4694452246615638
21,0.4444779550487345,0.8195983229144927,0.47929143058750456
22,0.4242613108514191,0.8105441264567836,0.5003355570737342
23,0.40522770777151185,0.820879380549154,0.4756872052937358
24,0.3900280422591544,0.8443583336568647,0.5128056989470972
25,0.37051299775575663,0.8544125085876834,0.48051018229401865
26,0.36523246339389254,0.8419345088543431,0.48672371612801685
27,0.3419197505557692,0.8447236389883103,0.46684446167187427
28,0.3341122939215078,0.8573535152019993,0.45793819150181087
29,0.3159798233733549,0.9002829049864123,0.43241538224445764
30,0.3064969213945525,0.9412824348095925,0.4166791045479922
31,0.2917682275950135,0.9037111632285579,0.4284623523193497
32,0.28709592379919896,0.876782497090678,0.45630958220096257
33,0.2797572553738371,0.9398180928922468,0.4709292272356018
34,0.26701115478168835,0.9256274507891747,0.4705309183260118
35,0.2588263423992442,0.9119175672531128,0.45105654062212386
36,0.25556660791883223,0.964664097755186,0.4164781612728503
37,0.24334050714969635,0.9318282017784734,0.449725160083412
38,0.23476235945890475,0.922358380210015,0.4524585350117666
39,0.23180308580011516,0.9693714264900454,0.4279075588828528
40,0.22109668392252613,0.996383644880787,0.4089104952041887
