epoch,train_loss,val_loss,val_dice
1,0.9864873015261316,0.9662146616366601,0.43170571881360637
2,0.7761254705391921,1.1215933119097063,0.16328138030509368
3,0.7414545947081083,1.0175390570394454,0.24435087518275017
4,0.727499505529156,0.8323949094741575,0.47037345300124683
5,0.7052778613257717,0.9459835723523171,0.33964973564116346
6,0.6847107453005654,1.0526970432650657,0.24135739996701366
7,0.6701314770556116,0.8589524146049253,0.491577292267528
8,0.6520708555525,0.8990245836396371,0.46350436076465645
9,0.6412783706343019,0.8430871434750096,0.5007211032280364
10,0.6313278377056122,0.8367338545860783,0.5039430858508278
11,0.6102840435969366,0.841225036690312,0.44642372361034144
12,0.6044370682982655,0.8486588135842354,0.4905864257172906
13,0.5868464785736877,0.8320349522175328,0.47408228671639574
14,0.5712702576216165,0.8323120849747812,0.4683416844302934
15,0.5539187885724105,0.9570163594138238,0.35284825389235464
16,0.54164697326623,0.8455109663548008,0.5030523516520361
17,0.5221929414705797,0.847389554785144,0.4257922919144746
18,0.5095925749122322,0.8370094376225625,0.45463180908859063
19,0.4890967086925135,0.8680446138305049,0.4339269613912022
20,0.4746554478422388,0.8929328524297283,0.4133245870448917
21,0.46545886974056044,0.8855142766429532,0.4722182518408577
22,0.44590364009528966,0.8602334289781509,0.4462784783307554
23,0.4301168374813996,0.8530591591711967,0.47010342406012035
24,0.41788987970197355,0.9154946284909402,0.4120322224291431
25,0.39689712265095156,0.9065026544755505,0.4620803722886725
26,0.3832647159889147,0.8974926663983253,0.4448427714277996
27,0.37420588151201023,0.8837879444322279,0.44310884426900965
28,0.35608760219115715,0.885078287893726,0.4651048346669933
29,0.34899776903065766,0.9275235139554546,0.42854511912690935
30,0.3393523824679387,0.9044132280734277,0.46488649361951334
