epoch,train_loss,val_loss,val_dice
1,0.9412655574934823,1.0246984295306667,0.4248863501653772
2,0.7814596995904848,0.9039114713668823,0.3816445435326083
3,0.7546346384983558,0.8547465089828737,0.40334907653893465
4,0.7327469765365898,0.8433923259858163,0.40676131011177674
5,0.7105914203377514,0.8607439389151912,0.41443733021760426
6,0.6902273188937794,1.0010349731291495,0.3209067037679301
7,0.6738510747234543,0.8916325184606737,0.3598459360142142
8,0.6511475064537742,0.8246878923908356,0.43739466324194287
9,0.6279441470449622,0.8238692773926642,0.41212609789300714
10,0.611328864445934,0.7851782768003402,0.4823737327152601
11,0.5930584433016839,0.789973339726848,0.4873383494678361
12,0.5742806246528378,0.8409499083795855,0.4637723786085204
13,0.5556768295052764,0.8053382289025092,0.43506512548273185
14,0.5288850481246973,0.838230396470716,0.49042655193201756
15,0.5093456719602857,0.80291554427916,0.48166499863777285
16,0.4959623575597614,0.8187145734986951,0.44210589286775276
17,0.46899190506377775,0.8198489267979899,0.46551698073574554
18,0.45146611216780425,0.8171432066348291,0.443054147258338
19,0.4283054918050766,0.8414389318035495,0.4632218112578405
20,0.4110712387732097,0.8057128200607915,0.4642045007560952
21,0.3959260724194638,0.9060845096265117,0.46734444106291956
22,0.37839568648245425,0.8139900180601305,0.4573798808135978
23,0.3648363262801975,0.8543433047110035,0.46322734952616473
24,0.35078126327557996,0.8573285322035512,0.464378539594291
25,0.3376950263590008,0.8686750358150851,0.4373553412008207
26,0.319527651775967,0.8492894393782462,0.45664030775846504
27,0.3099847972005993,0.9147451039283506,0.42934524237849153
28,0.30100887471979315,0.8885914217079839,0.4302593534251196
29,0.28623726741447075,0.8456239623408164,0.4705824841835423
30,0.2746945539271677,0.8727958336953194,0.4618887811459207
